id_produksi,tanggal,jam,id_mesin,nama_mesin,tipe_mesin,lokasi,id_operator,nama_operator,grup_shift,skill_level,id_material,jenis_bahan_baku,vendor_pemasok,setting_speed_rpm,suhu_mesin,output_qty_ok,reject_qty_ng
TRX-00001,2026-01-01,14:30,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-01,Steel Coil,PT Krakatau Steel,1200,70.8,1070,46
TRX-00002,2026-01-01,15:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-005,Rudi Kurniawan,C,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1500,74.6,1033,5
TRX-00003,2026-01-02,14:30,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1500,75.85,1450,46
TRX-00004,2026-01-02,07:45,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-014,Lestari Firmansyah,C,5,MAT-01,Steel Coil,PT Krakatau Steel,1350,84.2,867,60
TRX-00005,2026-01-03,8:15,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-011,Bambang Wibowo,C,5,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,67.4,1069,27
TRX-00006,2026-01-03,14:30,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-002,Andi Wijaya,C,3,MAT-01,Steel Coil,PT Krakatau Steel,1200,64.8,1410,24
TRX-00007,2026-01-03,14:30,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-002,Andi Wijaya,C,3,MAT-05,Galvanized Steel,PT Gunung Garuda,1500,70.2,961,46
TRX-00008,2026-01-03,8:15,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-005,Rudi Kurniawan,C,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,71.2,1343,38
TRX-00009,2026-01-04,6:00,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-004,Dewi Setiawan,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1200,78.2,1345,8
TRX-00010,2026-01-04,14:15,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-015,Hadi Rahmawati,A,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1350,72.0,1182,33
TRX-00011,2026-01-04,06:15,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-009,Yusuf Permadi,A,2,MAT-02,Steel Coil,PT Krakatau Steel,1800,62.1,1034,2
TRX-00012,2026-01-05,15:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-003,Siti Pratama,A,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,83.5,994,42
TRX-00013,2026-01-05,08:45,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-011,Bambang Wibowo,C,5,MAT-01,Steel Coil,PT Krakatau Steel,1200,70.2,1054,34
TRX-00014,2026-01-05,07:45,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-015,Hadi Rahmawati,A,1,MAT-01,Steel Coil,PT Krakatau Steel,1650,85.7,1467,53
TRX-00015,2026-01-06,23:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-014,Lestari Firmansyah,C,5,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1200,60.1,1265,44
TRX-00016,2026-01-06,23:45,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-001,Budi Santoso,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,78.2,1288,54
TRX-00017,2026-01-07,6:00,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-011,Bambang Wibowo,C,5,MAT-02,Steel Coil,PT Krakatau Steel,1650,86.7,1408,5
TRX-00018,2026-01-07,22:30,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1500,80.2,1123,59
TRX-00019,2026-01-07,6:45,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-004,Dewi Setiawan,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1500,81.9,1050,10
TRX-00020,2026-01-07,23:30,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-009,Yusuf Permadi,A,2,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1200,64.0,909,9
TRX-00021,2026-01-08,15:15,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-014,Lestari Firmansyah,C,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1800,87.2,894,53
TRX-00022,2026-01-08,06:00,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-005,Rudi Kurniawan,C,2,MAT-02,Steel Coil,PT Krakatau Steel,1650,76.95,877,44
TRX-00023,2026-01-08,15:00,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-001,Budi Santoso,B,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,83.9,1166,15
TRX-00024,2026-01-09,8:45,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-004,Dewi Setiawan,B,1,MAT-02,Steel Coil,PT Krakatau Steel,1350,60.7,1140,26
TRX-00025,2026-01-09,23:15,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-001,Budi Santoso,B,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,87.6,1033,42
TRX-00026,2026-01-09,14:30,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-005,Rudi Kurniawan,C,2,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1800,89.4,828,16
TRX-00027,2026-01-09,15:30,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-013,Joko Susanto,B,2,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1650,75.3,1390,2
TRX-00028,2026-01-10,06:15,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-015,Hadi Rahmawati,A,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1800,85.4,1107,42
TRX-00029,2026-01-10,8:45,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-011,Bambang Wibowo,C,5,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,69.0,800,13
TRX-00030,2026-01-10,23:30,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-009,Yusuf Permadi,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,68.5,1434,52
TRX-00031,2026-01-10,22:30,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-001,Budi Santoso,B,1,MAT-02,Steel Coil,PT Krakatau Steel,1650,83.1,1444,45
TRX-00032,2026-01-11,14:45,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-014,Lestari Firmansyah,C,5,MAT-01,Steel Coil,PT Krakatau Steel,1650,84.1,1275,15
TRX-00033,2026-01-11,14:15,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-015,Hadi Rahmawati,A,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1800,86.8,1361,10
TRX-00034,2026-01-11,23:45,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-005,Rudi Kurniawan,C,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,75.8,1092,21
TRX-00035,2026-01-11,15:00,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-003,Siti Pratama,A,2,MAT-02,Steel Coil,PT Krakatau Steel,1200,69.9,863,26
TRX-00036,2026-01-12,22:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-006,Agus Saputra,A,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1650,88.6,1359,57
TRX-00037,2026-01-12,14:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,87.6,1130,25
TRX-00038,2026-01-12,15:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-008,Rina Gunawan,C,1,MAT-02,Steel Coil,PT Krakatau Steel,1200,69.8,1145,24
TRX-00039,2026-01-13,08:00,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1200,79.6,1053,1
TRX-00040,2026-01-13,07:15,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-004,Dewi Setiawan,B,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1500,65.0,917,10
TRX-00041,2026-01-13,6:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-012,Wati Anggraini,A,2,MAT-02,Steel Coil,PT Krakatau Steel,1200,84.9,1108,38
TRX-00042,2026-01-14,23:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-002,Andi Wijaya,C,3,MAT-05,Galvanized Steel,PT Gunung Garuda,1500,72.6,1243,40
TRX-00043,2026-01-14,22:15,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-015,Hadi Rahmawati,A,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,84.8,1130,53
TRX-00044,2026-01-15,14:15,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-008,Rina Gunawan,C,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1350,70.6,1086,44
TRX-00045,2026-01-15,15:00,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-012,Wati Anggraini,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1650,67.2,1302,1
TRX-00046,2026-01-16,7:45,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-006,Agus Saputra,A,5,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1800,72.8,1138,29
TRX-00047,2026-01-16,08:30,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-012,Wati Anggraini,A,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1350,82.2,1403,33
TRX-00048,2026-01-17,06:15,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-001,Budi Santoso,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1350,89.2,929,48
TRX-00049,2026-01-17,6:00,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1200,85.9,866,4
TRX-00050,2026-01-17,22:00,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-004,Dewi Setiawan,B,1,MAT-01,Steel Coil,PT Krakatau Steel,1800,78.2,1031,24
TRX-00051,2026-01-17,14:30,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-010,Fitri Nugroho,B,5,MAT-01,Steel Coil,PT Krakatau Steel,1800,63.0,1440,42
TRX-00052,2026-01-18,7:15,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-008,Rina Gunawan,C,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,66.9,1264,14
TRX-00053,2026-01-18,23:15,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-015,Hadi Rahmawati,A,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1350,65.0,1382,28
TRX-00054,2026-01-19,22:30,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-008,Rina Gunawan,C,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1200,86.7,1418,5
TRX-00055,2026-01-19,22:00,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-013,Joko Susanto,B,2,MAT-02,Steel Coil,PT Krakatau Steel,1650,73.3,1399,52
TRX-00056,2026-01-20,14:30,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-014,Lestari Firmansyah,C,5,MAT-02,Steel Coil,PT Krakatau Steel,1500,74.9,1210,35
TRX-00057,2026-01-20,14:00,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-013,Joko Susanto,B,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1800,60.0,1273,12
TRX-00058,2026-01-20,8:45,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-009,Yusuf Permadi,A,2,MAT-02,Steel Coil,PT Krakatau Steel,1500,80.9,1445,15
TRX-00059,2026-01-21,8:00,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-014,Lestari Firmansyah,C,5,MAT-01,Steel Coil,PT Krakatau Steel,1650,79.4,1098,17
TRX-00060,2026-01-21,23:45,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-003,Siti Pratama,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,75.2,871,50
TRX-00061,2026-01-21,8:30,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-014,Lestari Firmansyah,C,5,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,74.7,1351,21
TRX-00062,2026-01-21,23:45,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-012,Wati Anggraini,A,2,MAT-02,Steel Coil,PT Krakatau Steel,1800,85.7,1125,45
TRX-00063,2026-01-22,22:15,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-010,Fitri Nugroho,B,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1200,73.2,1136,9
TRX-00064,2026-01-22,23:15,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-012,Wati Anggraini,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1200,85.6,1189,40
TRX-00065,2026-01-22,23:45,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-004,Dewi Setiawan,B,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1350,73.0,1448,6
TRX-00066,2026-01-23,22:30,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-001,Budi Santoso,B,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,64.4,1379,11
TRX-00067,2026-01-23,7:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-004,Dewi Setiawan,B,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1800,73.8,1061,57
TRX-00068,2026-01-23,08:15,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-005,Rudi Kurniawan,C,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1500,69.1,1294,24
TRX-00069,2026-01-24,15:30,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-014,Lestari Firmansyah,C,5,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1500,86.0,850,47
TRX-00070,2026-01-24,23:30,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1350,80.3,1475,8
TRX-00071,2026-01-24,06:00,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1200,69.8,1005,34
TRX-00072,2026-01-24,15:30,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-008,Rina Gunawan,C,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,78.2,1031,46
TRX-00073,2026-01-25,23:30,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-009,Yusuf Permadi,A,2,MAT-01,Steel Coil,PT Krakatau Steel,1650,82.5,1190,60
TRX-00074,2026-01-25,06:15,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-004,Dewi Setiawan,B,1,MAT-01,Steel Coil,PT Krakatau Steel,1650,69.1,943,2
TRX-00075,2026-01-25,14:00,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,81.8,1470,31
TRX-00076,2026-01-25,14:30,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-008,Rina Gunawan,C,1,MAT-02,Steel Coil,PT Krakatau Steel,1500,80.6,1460,25
TRX-00077,2026-01-26,06:45,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-010,Fitri Nugroho,B,5,MAT-01,Steel Coil,PT Krakatau Steel,1200,67.3,1378,53
TRX-00078,2026-01-26,7:15,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-003,Siti Pratama,A,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1200,89.5,1353,11
